,Total Downloads Since First Tracked (USA),Total Revenue Since First Tracked (USA),Total Downloads Since First Tracked (Global),Total Revenue Since First Tracked (Global),"""USA Daily Active Users (Past 30 days)""","""USA Monthly Active Users (Past 30 days)""","""Global Daily Active Users (Past 30 days)""","""Global Monthly Active Users (Past 30 days)"""
SnoreLab : Record Your Snoring,"240,200","$2,900,000.00","1,900,000","$7,400,000","3,300","28,200","29,300","248,100"
TaoMix 2 – Relax Sleep Focus,"104,500","$35,200.00","1,400,000","$662,100.00","3,100","29,400","63,200","654,900"
What's Up? - A Mental Health App,"212,700","$2,800.00","393,400",6100,"3,100","28,900","6,700","61,900"
Mend,"129,100","$91,600.00","219,400","$143,700.00","2,800","26,000","5,100","47,000"
MindShift,"226,000",$0.00,"602,100",$0,"2,700","24,700","7,500","68,100"
Virtual Hope Box,"188,300",$0.00,"219,000",$0,"2,500","23,300","2,900","27,400"
Pocket Meditation Timer,"197,700",$0.00,"393,300",$0,"2,400","28,000","5,000","57,800"
Relax & Sleep Well Hypnosis & Meditation,"168,700","$527,500.00","527,100","$1,100,000","2,200","27,300","7,200","86,700"
Simply Being,"137,000","$185,500.00","235,000",317600,"2,100","20,600","3,600","35,000"
TaoMix – Create your own Relaxing Ambience with Nature Sounds,"86,700","$15,500.00","472,000","$63,000","2,100","19,300","18,600","153,200"
CBT-i Coach,"121,200",$0.00,"157,000",$0,"2,000","18,100","2,500","22,500"
Joyable,"89,600",$0.00,"108,400",$0,"1,900","17,900","2,100","20,400"
Deep Sleep and Relax Hypnosis,"150,700","$1,100,000.00","406,500","$2,000,000","1,700","15,600","4,800","43,300"
Mindfulness Daily,"123,600","$177,000.00","303,700",473000,"1,700","15,400","3,800","33,600"
AnxietyCoach,"7,800","$27,400.00","16,200",57900,"1,700","6,200","3,100","12,800"
SuperBetter,"118,600","$37,200.00","242,700",83700,"1,600","14,300","3,200","28,700"
Happier,"170,700","$11,800.00","352,300","$16,700.00","1,600","14,100","4,400","40,000"
BoosterBuddy,"120,900",$0.00,"215,800",$0,"1,600","15,000","2,900","26,600"
Sleeptracker 24/7,"115,700","$80,600.00","192,800","$133,400.00","1,500","13,400","2,500","23,200"
Sleepmaker Rain Pro,"3,400","$4,800.00","5,700","$8,000","1,500","2,700","2,100","4,400"
Sleepmaker Storms Pro,"3,300","$4,600.00","5,700","$7,900.00","1,500","2,600","2,200","4,500"
Stress & Anxiety Companion,"24,200","$5,600.00","82,000",21500,"1,400","13,200","3,900","36,300"
Mindfulness Coach,"86,700",$0.00,"133,800",0,"1,400","12,600","2,000","17,900"
"Naturespace - Relax Meditate Focus Sleep and Rest with 3D Sounds, sonic therapy for anxiety and stress relief","89,400","$255,400.00","497,500","$710,000","1,300","11,400","7,500","64,300"
Sleepio,"255,200","$40,400.00","531,600",75800,"1,200","10,600","3,200","29,700"
"Rise Up + Recover: An Eating Disorder Monitoring and Management Tool for Anorexia, Bulimia, Binge Eating, and EDNOS","94,500",$0.00,"205,600",$0,"1,200","10,600","3,200","28,300"
Buddhify,"96,800","$337,600.00","258,000","$916,600.00","1,100","9,900","3,000","26,900"
Sleepmaker Waves Pro,"3,100","$4,400.00","4,300","$6,000","1,100","2,500","1,400","3,400"
Stress Check,"56,000","$1,900.00","276,400","$22,500.00","1,100","9,900","5,800","50,700"
DARE Break Free From Anxiety,"21,300","$18,100.00","40,300","$32,400.00","1,000","9,400","2,300","19,600"
Mood O Scope - Mood Tracker,"18,800",$505.00,"97,000","$1,900.00","1,000","10,200","5,500","50,000"
Sleepmaker Rain 1,"34,700",$0.00,"223,200",$0,952,"8,400","6,200","54,100"
Baby Sleep Sounds HQ,"17,000",$0.00,"194,800",$0,885,"9,100","7,800","81,300"
Youper,"43,700","$18,000.00","96,500","$23,700.00",862,"8,000","1,800","16,800"
Simple DBT Skills Diary Card,"15,700","$3,000.00","40,800",4400,807,"7,400","1,500","13,500"
anxietyhelper,"53,500",$0.00,"79,600",$0,723,"6,800","1,100","10,600"
WhatsMyM3,"12,600",$4.00,"55,300",$6,721,"6,500","2,200","19,400"
eMoods Bipolar Mood Tracker,"40,300","$16,200.00","60,300",29000,706,"6,900","1,200","11,700"
"iChill by Trauma Resource Institute, Inc.","8,300",$0.00,"11,400",0,699,"6,100","1,000","8,300"
T2 Mood Tracker,"47,700",$0.00,"82,800",0,681,"6,100","1,200","10,300"
CBT Thought Record Diary,"44,600","$19,600.00","102,700","$44,700.00",641,"6,000","1,500","13,900"
The Mood Meter,"29,300","$20,400.00","46,600","$32,500",615,"5,800",960,"9,100"
Sleep Pulse 3,"36,800","$103,000.00","63,400","$174,600.00",583,"5,700","1,100","10,500"
Personal Zen,"68,000",$0.00,"160,100",$0,571,"5,200","1,600","14,900"
Aspire,"23,600",$0.00,"23,600",$0,505,"5,200",505,"5,200"
"365 Gratitude: Diary, Journal, Grateful","13,300","$5,700.00","18,200",6700,503,"4,500",589,"5,300"
DBT Diary Card & Skills Coach,"32,600","$114,400.00","59,200",208600,477,"4,500",861,"7,900"
MoodTools - Depression Aid,"32,500",$426.00,"83,100","$2,100.00",463,"4,300","1,200","11,100"
Complete Relaxation: Guided Meditation for Anxiety,"43,600","$2,600.00","225,500","$28,500.00",459,"4,300","2,600","24,400"
