,Total Downloads Since First Tracked (USA),Total Revenue Since First Tracked (USA),Total Downloads Since First Tracked (Global),Total Revenue Since First Tracked (Global),"""USA Daily Active Users (Past 30 days)""","""USA Monthly Active Users (Past 30 days)""","""Global Daily Active Users (Past 30 days)""","""Global Monthly Active Users (Past 30 days)"""
Thought Challenger,0,$0.00,0,$0,0,0,0,0
Purple Chill,0,$0.00,0,$0,0,0,0,0
MoveMe,0,$0.00,0,$0,0,0,0,0
Slumber Time,0,$0.00,0,$0,0,0,0,0
Beating the Blues,0,$0.00,0,$0,0,0,0,0
Cognitive Enhancement Therapy,0,$0.00,0,$0,0,0,0,0
MoodGYM,0,$0.00,0,$0,0,0,0,0
Positive Activity Jackpot,0,$0.00,0,$0,0,0,0,0
ClinTouch,0,$0.00,0,$0,0,0,0,0
Fit Brains Trainer,0,$0.00,0,$0,0,0,0,0
Intellicare,0,$0.00,0,$0,0,0,0,0
Depression CBT Self-Help Guide,0,$0.00,0,$0,0,0,0,0
Beating Bipolar,0,$0.00,0,$0,0,0,0,0
My Trauma Recovery,0,$0.00,0,$0,0,0,0,0
Stress Gym,0,$0.00,0,$0,0,0,0,0
CBT – Worry Thought Journal,0,$0.00,0,$0,0,0,0,0
Cognitive Diary CBT Self-Help,0,$0.00,0,$0,0,0,0,0
Happyness,0,$0.00,0,$0,0,0,0,0
iCouch CBT,0,$0.00,0,$0,0,0,0,0
LightExistence – Depression Aid,0,$0.00,0,$0,0,0,0,0
Depression Treatment,0,$0.00,0,$0,0,0,0,0
Mood Tracker,0,$0.00,0,$0,0,0,0,0
NIH Depression Information,0,$0.00,0,$0,0,0,0,0
Learn About Depression,0,$0.00,0,$0,0,0,0,0
Sleep – CBT Tools,0,$0.00,0,$0,0,0,0,0
Feeling Good Depression Course,0,$0.00,0,$0,0,0,0,0
Mindfulness for Depression,0,$0.00,0,$0,0,0,0,0
Depression Information,0,$0.00,0,$0,0,0,0,0
MyHealthFabric,0,$0.00,0,$0,0,0,0,0
Conversations for lifeR - Lite,0,$0.00,0,$0,0,0,0,0
Bipolar Disorder,0,$0.00,0,$0,0,0,0,0
Health Log,0,$0.00,0,$0,0,0,0,0
Anxiety & Depression Symptoms,0,$0.00,0,$0,0,0,0,0
Hearing Voices,0,$0.00,0,$0,0,0,0,0
Depression,0,$0.00,0,$0,0,0,0,0
Reduce Depression,0,$0.00,0,$0,0,0,0,0
Recognize Bipolar Disorder,0,$0.00,0,$0,0,0,0,0
WorkOut,0,$0.00,0,$0,0,0,0,0
Life Reboot – Fight Depression,0,$0.00,0,$0,0,0,0,0
ANMA – Anxiety Manager,0,$0.00,0,$0,0,0,0,0
In Hand,0,$0.00,0,$0,0,0,0,0
Mental Health,0,$0.00,0,$0,0,0,0,0
Fight Depression Naturally,0,$0.00,0,$0,0,0,0,0
Relieve Depression Hypnosis,0,$0.00,0,$0,0,0,0,0
Depression Symptoms Signs,0,$0.00,0,$0,0,0,0,0
Depression disease TEST,0,$0.00,0,$0,0,0,0,0
Bipolar Disorder Treatment,0,$0.00,0,$0,0,0,0,0
AM I Bipolar,0,$0.00,0,$0,0,0,0,0
Anxious Minds,0,$0.00,0,$0,0,0,0,0
Depression Healing,0,$0.00,0,$0,0,0,0,0
Bipolar Disorder Healing,0,$0.00,0,$0,0,0,0,0
Depression & Bipolar Disorder,0,$0.00,0,$0,0,0,0,0
Vital Tones Depression,0,$0.00,0,$0,0,0,0,0
Anxiety Relief Audio Course,0,$0.00,0,$0,0,0,0,0
PTSD Aid,0,$0.00,0,$0,0,0,0,0
How to Overcome Depression,0,$0.00,0,$0,0,0,0,0
How to Get Over Depression,0,$0.00,0,$0,0,0,0,0
Tips to Reduce Depression,0,$0.00,0,$0,0,0,0,0
Yoga Helps Relieve Depression,0,$0.00,0,$0,0,0,0,0
Free Mood Tracker,0,$0.00,0,$0,0,0,0,0
CBT - Worry Thought Journal,0,$0.00,0,$0,0,0,0,0
Switch on Your Brain,0,$0.00,0,$0,0,0,0,0
Social Anxiety Disorder,0,$0.00,0,$0,0,0,0,0
Stop Anxiety with Relax!,0,$0.00,0,$0,0,0,0,0
Tips to Reduce Stress,0,$0.00,0,$0,0,0,0,0
Free Deep Sleep & Relaxation,0,$0.00,0,$0,0,0,0,0
My Chakra Meditation,0,$0.00,0,$0,0,0,0,0
Ambio – Sleep Sounds,0,$0.00,0,$0,0,0,0,0
Get Out of Stress,0,$0.00,0,$0,0,0,0,0
Anti Anxiety,0,$0.00,0,$0,0,0,0,0
Anxiety Disorder,0,$0.00,0,$0,0,0,0,0
Stress Proof Brain,0,$0.00,0,$0,0,0,0,0
Hack My Brain,0,$0.00,0,$0,0,0,0,0
Stress Relief,0,$0.00,0,$0,0,0,0,0
Stress Management Guide,0,$0.00,0,$0,0,0,0,0
Binaural Beats Therapy,0,$0.00,0,$0,0,0,0,0
Help Me Sleep,0,$0.00,0,$0,0,0,0,0
Thunder Sounds Sleep Sounds,0,$0.00,0,$0,0,0,0,0
Anxiety Relief,0,$0.00,0,$0,0,0,0,0
Anxiety NOW,0,$0.00,0,$0,0,0,0,0
Breathe,0,$0.00,0,$0,0,0,0,0
Meditation Music,0,$0.00,0,$0,0,0,0,0
Harmony – Hypnosis Meditation,0,$0.00,0,$0,0,0,0,0
Stress Relief Hypnosis,0,$0.00,0,$0,0,0,0,0
"End Anxiety Hypnosis - Stress, Panic Attack Help",0,$0.00,0,$0,0,0,0,0
Stress Management,0,$0.00,0,$0,0,0,0,0
Yoga for Anxiety and Stress,0,$0.00,0,$0,0,0,0,0
Anxiety Healing,0,$0.00,0,$0,0,0,0,0
Child Anxiety,0,$0.00,0,$0,0,0,0,0
Instant Anxiety Relief,0,$0.00,0,$0,0,0,0,0
Meditation Relax Music Sleep,0,$0.00,0,$0,0,0,0,0
Stress Busters info,0,$0.00,0,$0,0,0,0,0
Stress Healing,0,$0.00,0,$0,0,0,0,0
Chakra Meditation,0,$0.00,0,$0,0,0,0,0
Relaxation Sounds,0,$0.00,0,$0,0,0,0,0
Sleep Well (Sound Sleep),0,$0.00,0,$0,0,0,0,0
Therapy: Hand massage,0,$0.00,0,$0,0,0,0,0
Alpha Brain Waves,0,$0.00,0,$0,0,0,0,0
Anti Stress,0,$0.00,0,$0,0,0,0,0
How to Deal with Stress,0,$0.00,0,$0,0,0,0,0
Classical Piano Relax Music,0,$0.00,0,$0,0,0,0,0
Massage Technique for Baby,0,$0.00,0,$0,0,0,0,0
Stress Relief Yoga,0,$0.00,0,$0,0,0,0,0
Panic Free Life,0,$0.00,0,$0,0,0,0,0
Nature Relaxing Music,0,$0.00,0,$0,0,0,0,0
Sweet Sleep for Relaxing Sleep,0,$0.00,0,$0,0,0,0,0
Eye yoga - Exercises for eyes,0,$0.00,0,$0,0,0,0,0
Agoraphobia,0,$0.00,0,$0,0,0,0,0
Panic Attack,0,$0.00,0,$0,0,0,0,0
Mood Log,0,$0.00,0,$0,0,0,0,0
Sleep Well Hypnosis,0,$0.00,0,$0,0,0,0,0
Pregnancy Yoga,0,$0.00,0,$0,0,0,0,0
OCD and Anxiety,0,$0.00,0,$0,0,0,0,0
flowt: Stress Management,0,$0.00,0,$0,0,0,0,0
Anxiety Screening / Evaluation / Test,0,$0.00,0,$0,0,0,0,0
Anxiety Test GAD-7,0,$0.00,0,$0,0,0,0,0
Breathing Exercises,0,$0.00,0,$0,0,0,0,0
Test Your Anxiety level,0,$0.00,0,$0,0,0,0,0
Mindroid,0,$0.00,0,$0,0,0,0,0
Amicus - Social Anxiety,0,$0.00,0,$0,0,0,0,0
Paced breathing,0,$0.00,0,$0,0,0,0,0
Stress Quiz,0,$0.00,0,$0,0,0,0,0
Yoga For Prostate,0,$0.00,0,$0,0,0,0,0
Anxiety Tracker,0,$0.00,0,$0,0,0,0,0
Breathwork Lite :478 Breathing,0,$0.00,0,$0,0,0,0,0
Positive Thinking Hypnosis,0,$0.00,0,$0,0,0,0,0
The Panic Program,0,$0.00,0,0,0,0,0,0
Focus Trainer,0,$0.00,0,0,0,0,0,0
MoodSpace,0,$0.00,0,0,0,0,0,0
Happy Habits: Choose Happiness,0,$0.00,0,0,0,0,0,0
Take a Chill – Stressed Teens,0,$0.00,0,0,0,0,0,0
Mood Triggers: Anxiety Sadness,0,$0.00,0,0,0,0,0,0
Stress Reduction Audio,0,$0.00,0,0,0,0,0,0
Hope – Anxiety & Depression Aid,0,$0.00,0,0,0,0,0,0
Moving Forward,0,$0.00,0,0,0,0,0,0
Nature Sounds Relax & Sleep,0,$0.00,0,0,0,0,0,0
Secret of Happiness,0,$0.00,0,$0,0,0,0,0
Break Free Anxiety,166,$0.00,"1,300",$174,0,0,0,0
Minds for Life,0,$0.00,"22,900",$0,0,0,0,0
Flowy,0,$0.00,"1,800",0,0,0,0,0
StressLess,0,$0.00,333,$0,0,0,0,0
Mood Rocket,0,$0.00,54,$0,0,0,0,0
k’Bro Emotional Resiliency App,0,$0.00,1,$0,0,0,0,0
